DisplacementCategory,Original/Recap,Species,Sex,Date,Latitude,Longitude,TagNumber,DaysAtLiberty,TrackLength(m)
Short,Recap1,Nurse,Female,3/29/2014,25.633667,-80.18445,RJD0068,,
Short,Original,Nurse,Male,4/25/2013,25.6067,-80.1713,RJD0238,303,1996.480608
Short,Recap1,Nurse,Male,2/22/2014,25.621933,-80.160667,RJD0238,,
Short,Original,Nurse,Female,3/16/2013,25.608733,-80.160267,RJD0267,398,0
Short,Recap1,Nurse,Female,4/18/2014,25.608733,-80.160267,RJD0267,,
Short,Original,Blacktip,Female,10/1/2016,25.6372505,-80.2046124,RJD0545,163,10500.02656
Short,Recap1,Blacktip,Female,3/13/2017,25.731887,-80.198278,RJD0545,,
Short,Original,Nurse,Male,11/2/2014,25.666367,-80.183333,RJD0546,241,2976.862253
Short,Recap1,Nurse,Male,7/1/2015,25.641867,-80.195533,RJD0546,,
Short,Original,Lemon,Male,1/8/2015,25.619633,-80.170667,RJD0550,272,843.4395089
Short,Recap1,Lemon,Male,10/7/2015,25.615,-80.164,RJD0550,,
Short,Original,Blacktip,Female,2/7/2017,25.72175,-80.166583,RJD0596,41,1173.085836
Short,Recap1,Blacktip,Female,3/20/2017,25.731533,-80.1621,RJD0596,,
Short,Original,Great Hammerhead,Female,4/16/2016,25.6591784,-80.1786041,RJD0732,385,2409.362415
Short,Recap1,Great Hammerhead,Female,5/6/2017,25.6530483,-80.1555733,RJD0732,,
Short,Original,Nurse,Female,7/3/2017,25.750907,-80.198809,RJD1062,160,0
Short,Recap1,Nurse,Female,12/10/2017,25.750907,-80.198809,RJD1062,,
Short,Original,Blacktip,Female,3/28/2015,25.662917,-80.161767,RJD1151,119,4062.822012
Short,Recap1,Blacktip,Female,4/20/2015,25.67804,-80.16733,RJD1151,,
Short,E,Blacktip,Female,NA,25.6642959,-80.1583176,RJD1151,,
Short,Recap2,Blacktip,Female,7/25/2015,25.667,-80.154,RJD1151,,
Short,Original,Nurse,Male,4/26/2015,25.78045,-80.084633,RJD1162,325,3330.03237
Short,Recap1,Nurse,Male,3/16/2016,25.810517,-80.08445,RJD1162,,
Short,Original,Blacktip,Female,4/25/2015,25.619,-80.169,RJD1194,360,2332.431075
Short,Recap1,Blacktip,Female,4/19/2016,25.62055,-80.192167,RJD1194,,
Short,Original,Blacktip,Female,11/1/2013,25.6589,-80.155133,RJD1203,700,1975.928731
Short,Recap1,Blacktip,Female,10/2/2015,25.6718,-80.168733,RJD1203,,
Short,Original,Nurse,Female,3/16/2014,25.625367,-80.174017,RJD1810,971,8569.683578
